"time","left.y","left.x","left.dt","right.y","right.x","right.dt","x.mid","dt.mid"
6408,961.429,-51.2656,4489.81,1060.75,-202.385,4872.06,-126.8253,4680.935
6441,979.406,-52.2242,4573.76,1046.01,-206.418,4884.81,-129.3211,4729.285
6475,982.657,-53.2899,4667.1,1051.59,-207.518,4910.84,-130.40395,4788.97
6508,1009.98,-57.2371,4716.54,1063.43,-224.102,4966.15,-140.66955,4841.345
6542,1005.94,-57.979,4777.68,1054.53,-204.567,4924.58,-131.273,4851.13
6575,994.956,-75.8412,4824.1,1052.58,-207.714,4915.47,-141.7776,4869.785
6609,991.163,-76.889,4890.75,1065.07,-210.18,4973.83,-143.5345,4932.29
6642,963.998,-78.9738,5023.36,1064.29,-228.102,5054.79,-153.5379,5039.075
6675,983.882,-97.1719,5032.93,1067.07,-228.698,5068.02,-162.93495,5050.475
6709,991.425,-97.9169,5071.51,1062.41,-213.225,5045.9,-155.57095,5058.705
6742,980.876,-99.0554,5130.48,1071.27,-234.388,5194.1,-166.7217,5162.29
6775,995.461,-100.153,5187.31,1074.71,-231.123,5121.74,-165.638,5154.525
6809,994.747,-118.669,5183.59,1067.07,-233.47,5173.75,-176.0695,5178.67
6842,1029.02,-118.334,5168.99,1068.25,-233.729,5179.49,-176.0315,5174.24
6876,1032.11,-118.69,5184.52,1067.61,-250.358,5461.21,-184.524,5322.865
6910,1023.57,-102.98,5333.78,1059.32,-233.262,5520.06,-168.121,5426.92
6943,1024.07,-103.418,5356.42,1062.01,-233.854,5534.07,-168.636,5445.245
6977,1023.38,-102.961,5332.79,1063.13,-250.932,5560.72,-176.9465,5446.755
7010,1018.81,-102.887,5328.91,1043.08,-230.967,5560.12,-166.927,5444.515
7044,1020.04,-103.011,5335.33,1034.17,-248.762,5512.64,-175.8865,5423.985
7077,1010.88,-104.037,5388.49,1011.52,-232.286,5496.97,-168.1615,5442.73
7110,1012.06,-104.158,5394.77,1018.56,-253.751,5535.22,-178.9545,5464.995
7143,1014.47,-104.406,5407.61,1009.06,-231.72,5483.58,-168.063,5445.595
7177,1031.07,-86.4063,5496.13,1026.76,-250.905,5473.14,-168.65565,5484.635
7210,1037.92,-86.9803,5532.64,985.491,-245.513,5355.52,-166.24665,5444.08
7244,1043.4,-87.4394,5561.84,958.268,-238.731,5207.58,-163.0852,5384.71
7278,1041.48,-107.186,5551.59,960.125,-239.194,5217.67,-173.19,5384.63
7311,1038.07,-106.835,5533.43,970.861,-260.788,5276.02,-183.8115,5404.725
7344,1038.74,-106.904,5536.99,975.026,-261.907,5298.65,-184.4055,5417.82
7378,1041.39,-107.177,5551.14,995.844,-286.905,5411.78,-197.041,5481.46
7412,1049.9,-108.052,5596.47,1038.39,-333.14,5535.11,-220.596,5565.79
